date,store_id,item_id,units_sold,is_promo,is_holiday,day_of_week,is_weekend,true_anomaly
2022-01-01,1,1,260.1,0,1,5,1,0
2022-01-02,1,1,144.8,0,0,6,1,0
2022-01-03,1,1,125.9,0,0,0,0,0
2022-01-04,1,1,112.5,0,0,1,0,0
2022-01-05,1,1,117.4,0,0,2,0,0
2022-01-06,1,1,125.0,0,0,3,0,0
2022-01-07,1,1,79.0,0,0,4,0,0
2022-01-08,1,1,130.1,0,0,5,1,0
2022-01-09,1,1,125.9,0,0,6,1,0
2022-01-10,1,1,97.0,0,0,0,0,0
2022-01-11,1,1,105.0,0,0,1,0,0
2022-01-12,1,1,144.1,0,0,2,0,0
2022-01-13,1,1,92.0,0,0,3,0,0
2022-01-14,1,1,132.4,0,0,4,0,0
2022-01-15,1,1,92.4,0,0,5,1,0
2022-01-16,1,1,129.5,0,0,6,1,0
2022-01-17,1,1,114.5,0,0,0,0,0
2022-01-18,1,1,123.7,0,0,1,0,0
2022-01-19,1,1,126.4,0,0,2,0,0
2022-01-20,1,1,128.1,0,0,3,0,0
2022-01-21,1,1,103.0,0,0,4,0,0
2022-01-22,1,1,125.5,0,0,5,1,0
2022-01-23,1,1,161.5,0,0,6,1,0
2022-01-24,1,1,106.1,0,0,0,0,0
2022-01-25,1,1,82.3,0,0,1,0,0
2022-01-26,1,1,85.3,0,0,2,0,0
2022-01-27,1,1,89.9,0,0,3,0,0
2022-01-28,1,1,120.7,0,0,4,0,0
2022-01-29,1,1,141.0,0,0,5,1,0
2022-01-30,1,1,155.7,0,0,6,1,0
2022-01-31,1,1,100.1,0,0,0,0,0
2022-02-01,1,1,112.6,0,0,1,0,0
2022-02-02,1,1,122.6,0,0,2,0,0
2022-02-03,1,1,102.2,0,0,3,0,0
2022-02-04,1,1,118.5,0,0,4,0,0
2022-02-05,1,1,117.8,0,0,5,1,0
2022-02-06,1,1,125.6,0,0,6,1,0
2022-02-07,1,1,99.9,0,0,0,0,0
2022-02-08,1,1,82.3,0,0,1,0,0
2022-02-09,1,1,118.1,0,0,2,0,0
2022-02-10,1,1,97.4,0,0,3,0,0
2022-02-11,1,1,107.5,0,0,4,0,0
2022-02-12,1,1,146.5,0,0,5,1,0
2022-02-13,1,1,145.2,0,0,6,1,0
2022-02-14,1,1,120.5,0,0,0,0,0
2022-02-15,1,1,104.1,0,0,1,0,0
2022-02-16,1,1,97.1,0,0,2,0,0
2022-02-17,1,1,104.0,0,0,3,0,0
2022-02-18,1,1,70.1,0,0,4,0,0
2022-02-19,1,1,93.7,0,0,5,1,0
2022-02-20,1,1,96.6,0,0,6,1,0
2022-02-21,1,1,83.9,0,0,0,0,0
2022-02-22,1,1,112.5,0,0,1,0,0
2022-02-23,1,1,85.3,0,0,2,0,0
2022-02-24,1,1,95.9,0,0,3,0,0
2022-02-25,1,1,130.0,0,0,4,0,0
2022-02-26,1,1,119.7,0,0,5,1,0
2022-02-27,1,1,147.2,0,0,6,1,0
2022-02-28,1,1,83.4,0,0,0,0,0
2022-03-01,1,1,97.9,0,0,1,0,0
2022-03-02,1,1,82.5,0,0,2,0,0
2022-03-03,1,1,94.6,0,0,3,0,0
2022-03-04,1,1,117.9,0,0,4,0,0
2022-03-05,1,1,82.7,0,0,5,1,0
2022-03-06,1,1,136.2,0,0,6,1,0
2022-03-07,1,1,104.7,0,0,0,0,0
2022-03-08,1,1,87.9,0,0,1,0,0
2022-03-09,1,1,70.8,0,0,2,0,0
2022-03-10,1,1,180.5,1,0,3,0,0
2022-03-11,1,1,88.2,0,0,4,0,0
2022-03-12,1,1,128.3,0,0,5,1,0
2022-03-13,1,1,122.7,0,0,6,1,0
2022-03-14,1,1,128.3,0,0,0,0,0
2022-03-15,1,1,92.4,0,0,1,0,0
2022-03-16,1,1,138.5,1,0,2,0,0
2022-03-17,1,1,99.6,0,0,3,0,0
2022-03-18,1,1,100.0,0,0,4,0,0
2022-03-19,1,1,151.5,0,0,5,1,0
2022-03-20,1,1,138.5,0,0,6,1,0
2022-03-21,1,1,101.3,0,0,0,0,0
2022-03-22,1,1,121.6,0,0,1,0,0
2022-03-23,1,1,71.7,0,0,2,0,0
2022-03-24,1,1,81.5,0,0,3,0,0
2022-03-25,1,1,75.9,0,0,4,0,0
2022-03-26,1,1,106.7,0,0,5,1,0
2022-03-27,1,1,83.7,0,0,6,1,0
2022-03-28,1,1,103.3,0,0,0,0,0
2022-03-29,1,1,87.3,0,0,1,0,0
2022-03-30,1,1,64.3,0,0,2,0,0
2022-03-31,1,1,72.2,0,0,3,0,0
2022-04-01,1,1,95.7,0,0,4,0,0
2022-04-02,1,1,130.7,0,0,5,1,0
2022-04-03,1,1,155.7,0,0,6,1,0
2022-04-04,1,1,140.1,0,0,0,0,0
2022-04-05,1,1,95.6,0,0,1,0,0
2022-04-06,1,1,70.7,0,0,2,0,0
2022-04-07,1,1,50.5,0,0,3,0,0
2022-04-08,1,1,91.7,0,0,4,0,0
2022-04-09,1,1,90.8,0,0,5,1,0
2022-04-10,1,1,178.0,1,0,6,1,0
2022-04-11,1,1,75.4,0,0,0,0,0
2022-04-12,1,1,83.0,0,0,1,0,0
2022-04-13,1,1,102.9,0,0,2,0,0
2022-04-14,1,1,87.2,0,0,3,0,0
2022-04-15,1,1,81.5,0,0,4,0,0
2022-04-16,1,1,83.1,0,0,5,1,0
2022-04-17,1,1,69.5,0,0,6,1,0
2022-04-18,1,1,74.9,0,0,0,0,0
2022-04-19,1,1,81.6,0,0,1,0,0
2022-04-20,1,1,110.8,0,0,2,0,0
2022-04-21,1,1,83.7,0,0,3,0,0
2022-04-22,1,1,97.0,0,0,4,0,0
2022-04-23,1,1,91.0,0,0,5,1,0
2022-04-24,1,1,76.8,0,0,6,1,0
2022-04-25,1,1,64.6,0,0,0,0,0
2022-04-26,1,1,68.1,0,0,1,0,0
2022-04-27,1,1,112.6,0,0,2,0,0
2022-04-28,1,1,65.9,0,0,3,0,0
2022-04-29,1,1,91.4,0,0,4,0,0
2022-04-30,1,1,80.0,0,0,5,1,0
2022-05-01,1,1,114.9,0,0,6,1,0
2022-05-02,1,1,83.1,0,0,0,0,0
2022-05-03,1,1,74.4,0,0,1,0,0
2022-05-04,1,1,75.8,0,0,2,0,0
2022-05-05,1,1,66.2,0,0,3,0,0
2022-05-06,1,1,82.4,0,0,4,0,0
2022-05-07,1,1,85.6,0,0,5,1,0
2022-05-08,1,1,70.9,0,0,6,1,0
2022-05-09,1,1,55.7,0,0,0,0,0
2022-05-10,1,1,76.8,0,0,1,0,0
2022-05-11,1,1,97.0,0,0,2,0,0
2022-05-12,1,1,75.9,0,0,3,0,0
2022-05-13,1,1,71.5,0,0,4,0,0
2022-05-14,1,1,96.2,0,0,5,1,0
2022-05-15,1,1,114.1,0,0,6,1,0
2022-05-16,1,1,75.3,0,0,0,0,0
2022-05-17,1,1,118.8,1,0,1,0,0
2022-05-18,1,1,87.2,0,0,2,0,0
2022-05-19,1,1,77.3,0,0,3,0,0
2022-05-20,1,1,92.5,0,0,4,0,0
2022-05-21,1,1,91.4,0,0,5,1,0
2022-05-22,1,1,66.5,0,0,6,1,0
2022-05-23,1,1,51.0,0,0,0,0,0
2022-05-24,1,1,92.6,0,0,1,0,0
2022-05-25,1,1,93.2,0,0,2,0,0
2022-05-26,1,1,66.7,0,0,3,0,0
2022-05-27,1,1,63.6,0,0,4,0,0
2022-05-28,1,1,110.6,0,0,5,1,0
2022-05-29,1,1,66.7,0,0,6,1,0
2022-05-30,1,1,56.0,0,0,0,0,0
2022-05-31,1,1,76.5,0,0,1,0,0
2022-06-01,1,1,62.3,0,0,2,0,0
2022-06-02,1,1,67.3,0,0,3,0,0
2022-06-03,1,1,65.0,0,0,4,0,0
2022-06-04,1,1,89.3,0,0,5,1,0
2022-06-05,1,1,106.7,0,0,6,1,0
2022-06-06,1,1,67.7,0,0,0,0,0
2022-06-07,1,1,74.8,0,0,1,0,0
2022-06-08,1,1,39.2,0,0,2,0,0
2022-06-09,1,1,65.3,0,0,3,0,0
2022-06-10,1,1,54.7,0,0,4,0,0
2022-06-11,1,1,62.1,0,0,5,1,0
2022-06-12,1,1,67.5,0,0,6,1,0
2022-06-13,1,1,60.9,0,0,0,0,0
2022-06-14,1,1,76.9,0,0,1,0,0
2022-06-15,1,1,47.8,0,0,2,0,0
2022-06-16,1,1,65.2,0,0,3,0,0
2022-06-17,1,1,58.5,0,0,4,0,0
2022-06-18,1,1,75.5,0,0,5,1,0
2022-06-19,1,1,96.6,0,0,6,1,0
2022-06-20,1,1,71.2,0,0,0,0,0
2022-06-21,1,1,81.3,0,0,1,0,0
2022-06-22,1,1,62.2,0,0,2,0,0
2022-06-23,1,1,55.2,0,0,3,0,0
2022-06-24,1,1,61.1,0,0,4,0,0
2022-06-25,1,1,83.8,0,0,5,1,0
2022-06-26,1,1,82.6,0,0,6,1,0
2022-06-27,1,1,50.1,0,0,0,0,0
2022-06-28,1,1,64.9,0,0,1,0,0
2022-06-29,1,1,119.9,1,0,2,0,0
2022-06-30,1,1,95.6,0,0,3,0,0
2022-07-01,1,1,87.4,0,0,4,0,0
2022-07-02,1,1,66.1,0,0,5,1,0
2022-07-03,1,1,75.0,0,0,6,1,0
