feature,mean_abs_shap
rolling_mean_28,20.066977
rolling_mean_14,13.655653
day_of_week,6.510595
rolling_mean_7,5.8271017
is_promo,5.779082
lag_1,3.1835198
week_of_year,2.646913
is_weekend,1.7685468
rolling_std_28,1.3906205
is_holiday,1.2854412
month_sin,1.2084516
lag_7,0.7667782
rolling_std_7,0.6761073
lag_28,0.6667078
lag_14,0.6199995
rolling_std_14,0.5251099
month_cos,0.5166317
month,0.4542899
dow_sin,0.25672176
store_id,0.22146931
item_id,0.1549645
day_of_month,0.13549656
dow_cos,0.053594798
quarter,0.025906356
